Errors for Brill Tagger None

             left context |    word/test->gold     | right context
NS ,/, by/IN Houghton/NNP |    Mifflin/NN->NNP     | Co./NNP ;/: and/CC Harcou
in/NNP Co./NNP ;/: and/CC |    Harcourt/NN->NNP    | Brace/NNP Jovanovich/NNP 
P ;/: and/CC Harcourt/NNP |     Brace/NN->NNP      | Jovanovich/NNP Inc./NNP '
CC Harcourt/NNP Brace/NNP |   Jovanovich/NN->NNP   | Inc./NNP 's/POS Metropoli
ovich/NNP Inc./NNP 's/POS |  Metropolitan/NN->NNP  | Achievement/NNP Test/NNP 
P 's/POS Metropolitan/NNP |  Achievement/NN->NNP   | Test/NNP and/CC Stanford/
litan/NNP Achievement/NNP |      Test/NN->NNP      | and/CC Stanford/NNP Achie
t/NNP and/CC Stanford/NNP |  Achievement/NN->NNP   | Test/NNP ./.
nford/NNP Achievement/NNP |      Test/NN->NNP      | ./.
 figures/NNS of/IN the/DT |    test-prep/NN->JJ    | materials/NNS are/VBP n't
erials/NNS are/VBP n't/RB |     known/VBN->JJ      | *-1/-NONE- ,/, but/CC the
NE- ,/, but/CC their/PRP$ |      reach/VB->NN      | into/IN schools/NNS is/VB
                    In/IN |    Arizona/NN->NNP     | ,/, California/NNP ,/, Fl
NP ,/, California/NNP ,/, |    Florida/NN->NNP     | ,/, Louisiana/NNP ,/, Mar
a/NNP ,/, Florida/NNP ,/, |   Louisiana/NN->NNP    | ,/, Maryland/NNP ,/, New/
NNP ,/, Louisiana/NNP ,/, |    Maryland/NN->NNP    | ,/, New/NNP Jersey/NNP ,/
PRP$ Scoring/NNP High/NNP | test-preparation/NN->JJ | books/NNS have/VBP been/V
uction/NN 10/CD years/NNS |       ago/IN->RB       | ,/, with/IN most/JJS sale
terials/NNS in/IN each/DT |      set/VBN->NN       | reach/VBP about/IN 90/CD 
/NNS in/IN each/DT set/NN |     reach/VB->VBP      | about/IN 90/CD students/N
rials/NNPS are/VBP the/DT | best-selling/VBG->JJS  | preparation/NN tests/NNS 
              Michael/NNP |      Kean/NN->NNP      | ,/, director/NN of/IN mar
of/IN marketing/NN for/IN |      CTB/NN->NNP       | Macmillan\/McGraw/NNP ,/,
rketing/NN for/IN CTB/NNP | Macmillan\/McGraw/NN->NNP | ,/, the/DT Macmillan\/McG
an\/McGraw/NNP ,/, the/DT | Macmillan\/McGraw/NN->NNP | division/NN that/WDT *T*-
n\/McGraw/NNP division/NN |      that/IN->WDT      | *T*-106/-NONE- publishes/
/NNP division/NN that/WDT |   *T*-106/NN->-NONE-   | publishes/VBZ Learning/NN
N that/WDT *T*-106/-NONE- |   publishes/NNS->VBZ   | Learning/NNP Materials/NN
ONE- it/PRP is/VBZ n't/RB |     aimed/VBD->VBN     | *-1/-NONE- at/IN */-NONE-
tions/NNS were/VBD n't/RB |  replicated/VBD->VBN   | *-1/-NONE- ./.
        When/WRB */-NONE- |   referred/VBD->VBN    | *-2/-NONE- to/TO the/DT q
o/TO the/DT questions/NNS |      that/IN->WDT      | *T*-107/-NONE- matched/VB
DT questions/NNS that/WDT |   *T*-107/NN->-NONE-   | matched/VBN *T*-1/-NONE- 
S that/WDT *T*-107/-NONE- |    matched/VBD->VBN    | *T*-1/-NONE- ,/, he/PRP s
D 0/-NONE- it/PRP was/VBD |  coincidental/NN->JJ   | ./.
                  Mr./NNP |    Kaminski/NN->NNP    | ,/, the/DT schoolteacher/
NN ,/, and/CC William/NNP |    Mehrens/NNS->NNP    | ,/, a/DT Michigan/NNP Sta
/NNP Mehrens/NNP ,/, a/DT |    Michigan/NN->NNP    | State/NNP University/NNP 
 last/JJ June/NNP that/IN |      CAT/NN->NNP       | test/NN versions/NNS of/I
They/PRP devised/VBD a/DT |    69-point/NN->JJ     | scale/NN --/: *-1/-NONE- 
VBN */-NONE- on/IN the/DT |      CAT/NN->NNP       | test/NN --/: *-1/-NONE- t
/TO the/DT fifth-grade/NN |      CAT/NN->NNP       | ./.
ese/DT subskills/NNS --/: |       the/DT->JJ       | symmetry/NN of/IN geometr
 the/JJ symmetry/NN of/IN |   geometrical/NN->JJ   | figures/NNS ,/, metric/JJ
trical/JJ figures/NNS ,/, |     metric/NN->JJ      | measurement/NN of/IN volu
/, for/IN example/NN --/: |      are/VBP->NN       | only/RB a/DT small/JJ par
l/JJ part/NN of/IN the/DT |      total/NN->JJ      | fifth-grade/NN curriculum
curriculum/NN ,/, Mr./NNP |    Kaminski/NN->NNP    | says/VBZ 0/-NONE- *T*-1/-
 kits/NNS would/MD n't/RB |    replicate/NN->VB    | too/RB many/JJ ,/, if/IN 
                    In/IN |      CAT/NN->NNP       | sections/NNS where/WRB st
 '/POS knowledge/NN of/IN |   two-letter/NN->JJ    | consonant/JJ sounds/NNS i
ge/NN of/IN two-letter/JJ |    consonant/NN->JJ    | sounds/NNS is/VBZ tested/
/-NONE- *T*-4/-NONE- --/: |       to/TO->IN        | the/DT exclusion/NN of/IN
/IN the/DT fifth-grade/NN |   contains/NNS->VBZ    | at/IN least/JJS a/DT doze
xact/JJ matches/NNS or/CC |      close/VB->JJ      | parallels/NNS to/TO test/
                          |      Rick/NN->NNP      | Brownell/NNP ,/, senior/J
                 Rick/NNP |    Brownell/NN->NNP    | ,/, senior/JJ editor/NN o
/NNP ,/, says/VBZ that/IN |   Messrs./NNP->NNPS    | Kaminski/NNP and/CC Mehre
/VBZ that/IN Messrs./NNPS |    Kaminski/NN->NNP    | and/CC Mehrens/NNP are/VB
/NNPS Kaminski/NNP and/CC |    Mehrens/NNS->NNP    | are/VBP ignoring/VBG ``/`
ignoring/VBG ``/`` the/DT |      need/VBD->NN      | 0/-NONE- students/NNS hav
/IN */-NONE- becoming/VBG |    familiar/NN->JJ     | with/IN tests/NNS and/CC 
NNP ``/`` scrupulously/RB |     avoid/VB->VBP      | ''/'' *-1/-NONE- replicat
CC he/PRP does/VBZ n't/RB |      deny/NN->VB       | that/IN some/DT items/NNS
a/DT publication/NN of/IN |     Random/NN->NNP     | House/NNP ./.
  McGraw-Hill/NNP was/VBD |    outraged/VBN->JJ    | ./.
epresented/VBD a/DT ``/`` |    parallel/VB->JJ     | form/NN ''/'' of/IN the/D
orm/NN ''/'' of/IN the/DT |      CAT/NN->NNP       | and/CC CTBS/NNP tests/NNS
/IN the/DT CAT/NNP and/CC |      CTBS/NN->NNP      | tests/NNS ./.
/NNP purchased/VBD the/DT |     Random/NN->NNP     | House/NNP unit/NN that/WD
dom/NNP House/NNP unit/NN |      that/IN->WDT      | *T*-108/-NONE- publishes/
ouse/NNP unit/NN that/WDT |   *T*-108/NN->-NONE-   | publishes/VBZ Scoring/NNP
N that/WDT *T*-108/-NONE- |   publishes/NNS->VBZ   | Scoring/NNP High/NNP ,/, 
NP High/NNP ,/, which/WDT |   *T*-109/NN->-NONE-   | later/RBR became/VBD part
 which/WDT *T*-109/-NONE- |     later/RB->RBR      | became/VBD part/NN of/IN 
 became/VBD part/NN of/IN | Macmillan\/McGraw/NN->NNP | ./.
                          |   Messrs./NNP->NNPS    | Brownell/NNP and/CC Kean/
             Messrs./NNPS |    Brownell/NN->NNP    | and/CC Kean/NNP say/VBP 0
/NNPS Brownell/NNP and/CC |      Kean/NN->NNP      | say/VBP 0/-NONE- they/PRP
0/-NONE- they/PRP are/VBP |     unaware/NN->JJ     | of/IN any/DT efforts/NNS 
NE- to/TO modify/VB or/CC |   discontinue/NN->VB   | Scoring/NNP High/NNP ./.
                          |   Alleghany/NN->NNP    | Corp./NNP said/VBD 0/-NON
e/DT acquisition/NN of/IN |   Sacramento/NN->NNP   | Savings/NNPS &/CC Loan/NN
n/NN of/IN Sacramento/NNP |   Savings/NNS->NNPS    | &/CC Loan/NNP Association
nto/NNP Savings/NNPS &/CC |      Loan/NN->NNP      | Association/NNP from/IN t
iation/NNP from/IN the/DT |      H.N./NN->NNP      | &/CC Frances/NNP C./NNP B
m/IN the/DT H.N./NNP &/CC |    Frances/NNS->NNP    | C./NNP Berger/NNP Foundat
H.N./NNP &/CC Frances/NNP |       C./NN->NNP       | Berger/NNP Foundation/NNP
P &/CC Frances/NNP C./NNP |     Berger/NN->NNP     | Foundation/NNP for/IN $/$
ces/NNP C./NNP Berger/NNP |   Foundation/NN->NNP   | for/IN $/$ 150/CD million
                   The/DT | Sacramento-based/VBD->JJ | S&L/NN ,/, which/WDT *T*-
d/JJ S&L/NN ,/, which/WDT |   *T*-110/NN->-NONE-   | has/VBZ 44/CD branch/NN o
anch/NN offices/NNS in/IN |      north/NN->JJ      | central/JJ California/NNP
ffices/NNS in/IN north/JJ |     central/NN->JJ     | California/NNP ,/, had/VB
    New/NNP York-based/JJ |   Alleghany/NN->NNP    | is/VBZ an/DT insurance/NN
ce/NN includes/VBZ two/CD |    ancillary/NN->JJ    | companies/NNS ./.
P of/IN Health/NNP and/CC |     Human/NN->NNP      | Services/NNPS plans/VBZ *
alth/NNP and/CC Human/NNP |   Services/NNS->NNPS   | plans/VBZ *-1/-NONE- to/T
C Human/NNP Services/NNPS |     plans/NNS->VBZ     | *-1/-NONE- to/TO extend/V
research/NN involving/VBG |  fetal-tissue/NN->JJ   | transplants/NNS ./.
                          |     Medical/NN->JJ     | researchers/NNS believe/V
mall/JJ amounts/NNS of/IN |      fetal/NN->JJ      | tissue/NN into/IN humans/
help/VB */-NONE- treat/VB |    juvenile/NN->JJ     | diabetes/NN and/CC such/J
ONE- treat/VB juvenile/JJ |    diabetes/NNS->NN    | and/CC such/JJ degenerati
iabetes/NN and/CC such/JJ |  degenerative/NN->JJ   | diseases/NNS as/IN Alzhei
ive/JJ diseases/NNS as/IN |   Alzheimer/NN->NNP    | 's/POS ,/, Parkinson/NNP 
 Alzheimer/NNP 's/POS ,/, |   Parkinson/NN->NNP    | 's/POS and/CC Huntington/
rkinson/NNP 's/POS and/CC |   Huntington/NN->NNP   | 's/POS ./.
/CC anti-abortionists/NNS |     oppose/NN->VBP     | such/JJ research/NN becau
N therapies/NNS using/VBG |  fetal-tissue/NN->JJ   | transplants/NNS could/MD 
                James/NNP |     Mason/NN->NNP      | ,/, assistant/NN secretar
  James/NNP Mason/NNP ,/, |    assistant/JJ->NN    | secretary/NN for/IN healt
deral/JJ funding/NN of/IN |  fetal-tissue/NN->JJ   | transplant/NN research/NN
BD 0/-NONE- the/DT ban/NN |       wo/NN->MD        | n't/RB stop/VB privately/
he/DT ban/NN wo/MD n't/RB |      stop/NN->VB       | privately/RB funded/VBN t
t/RB stop/VB privately/RB |    funded/VBD->VBN     | tissue-transplant/JJ rese
B privately/RB funded/VBN | tissue-transplant/NN->JJ | research/NN or/CC federal
rch/NN or/CC federally/RB |    funded/VBD->VBN     | fetal-tissue/JJ research/
C federally/RB funded/VBN |  fetal-tissue/NN->JJ   | research/NN that/WDT *T*-
tal-tissue/JJ research/NN |      that/IN->WDT      | *T*-111/-NONE- does/VBZ n
e/JJ research/NN that/WDT |   *T*-111/NN->-NONE-   | does/VBZ n't/RB involve/V
11/-NONE- does/VBZ n't/RB |     involve/NN->VB     | transplants/NNS ./.
                          |   Department/NNP->NN   | officials/NNS say/VBP tha
cials/NNS say/VBP that/IN |      HHS/NN->NNP       | Secretary/NNP Louis/NNP S
/IN HHS/NNP Secretary/NNP |     Louis/NNS->NNP     | Sullivan/NNP will/MD supp
P Secretary/NNP Louis/NNP |    Sullivan/NN->NNP    | will/MD support/VB Dr./NN
ill/MD support/VB Dr./NNP |     Mason/NN->NNP      | 's/POS ruling/NN ,/, whic
S ruling/NN ,/, which/WDT |   *T*-112/NN->-NONE-   | will/MD be/VB issued/VBN 
DT letter/NN to/TO the/DT |     acting/VBG->JJ     | director/NN of/IN the/DT 
of/IN the/DT National/NNP |  Institutes/NNS->NNPS  | of/IN Health/NNP ./.
          Both/DT Dr./NNP |     Mason/NN->NNP      | and/CC Dr./NNP Sullivan/N
 Mason/NNP and/CC Dr./NNP |    Sullivan/NN->NNP    | oppose/VBP federal/JJ fun
d/CC Dr./NNP Sullivan/NNP |     oppose/NN->VBP     | federal/JJ funding/NN for
n/WRB the/DT National/NNP |  Institutes/NNS->NNPS  | of/IN Health/NNP ,/, awar
/, asked/VBD for/IN an/DT |      HHS/NN->NNP       | review/NN of/IN its/PRP$ 
*/-NONE- to/TO implant/VB |      fetal/NN->JJ      | tissue/NN into/IN the/DT 
/NN of/IN a/DT patient/NN |   suffering/VBG->NN    | from/IN Parkinson/NNPS 's
t/NN suffering/NN from/IN |   Parkinson/NN->NNPS   | 's/POS disease/NN *T*-1/-
/VBG a/DT review/NN of/IN |   scientific/NN->JJ    | ,/, legal/JJ and/CC ethic
ic/JJ ,/, legal/JJ and/CC |     ethical/NN->JJ     | issues/NNS ./.
T majority/NN of/IN an/DT | NIH-appointed/VBD->JJ  | panel/NN recommended/VBD 
 panel/NN recommended/VBD |      late/JJ->RB       | last/JJ year/NN that/IN t
/VB under/IN carefully/RB |   controlled/VBD->JJ   | conditions/NNS ,/, but/CC
 embroiled/VBN *-2/-NONE- |       in/RB->IN        | politics/NNS as/IN anti-a
 in/IN politics/NNS as/IN |  anti-abortion/NN->JJ  | groups/NNS continued/VBD 
*/-NONE- to/TO recruit/VB |    prominent/NN->JJ    | doctors/NNS 0/-NONE- *T*-
T*-1/-NONE- to/TO fill/VB |  prestigious/NNS->JJ   | posts/NNS at/IN the/DT he
TO fill/VB prestigious/JJ |     posts/VBZ->NNS     | at/IN the/DT helm/NN of/I
e/DT helm/NN of/IN the/DT |      NIH/NN->NNP       | and/CC the/DT Centers/NNP
/DT NIH/NNP and/CC the/DT |   Centers/NNS->NNPS    | for/IN Disease/NNP Contro
he/DT Centers/NNPS for/IN |    Disease/NN->NNP     | Control/NNP ./.
s/NNPS for/IN Disease/NNP |    Control/NN->NNP     | ./.
                          |     Several/NN->JJ     | candidates/NNS have/VBP w
J candidates/NNS have/VBP |   withdrawn/NN->VBN    | their/PRP$ names/NNS from
 on/IN abortion/NN and/CC |  fetal-tissue/NN->JJ   | transplants/NNS ./.
                          |    Antonio/NN->NNP     | Novello/NNP ,/, whom/WP M
              Antonio/NNP |    Novello/NN->NNP     | ,/, whom/WP Mr./NNP Bush/
NP Bush/NNP nominated/VBD |   *T*-113/NN->-NONE-   | to/TO serve/VB as/IN surg
/VBD *T*-113/-NONE- to/TO |      serve/NN->VB      | as/IN surgeon/NN general/
serve/VB as/IN surgeon/NN |     general/JJ->NN     | ,/, reportedly/RB has/VBZ
ration/NN that/IN she/PRP |    opposes/NNS->VBZ    | abortion/NN ./.
                  Dr./NNP |    Novello/NN->NNP     | is/VBZ deputy/NN director
l/NNP Institute/NNP of/IN |     Child/NN->NNP      | Health/NNP and/CC Human/N
ild/NNP Health/NNP and/CC |     Human/NN->NNP      | Development/NNP ./.
alth/NNP and/CC Human/NNP |  Development/NN->NNP   | ./.
s/VBZ imposing/VBG new/JJ |   ideological/NN->JJ   | tests/NNS for/IN top/JJ s
J tests/NNS for/IN top/JJ |   scientific/NN->JJ    | posts/NNS ./.
r/IN top/JJ scientific/JJ |     posts/VBZ->NNS     | ./.
is/DT week/NN ,/, Dr./NNP |    Sullivan/NN->NNP    | tried/VBD *-1/-NONE- to/T
ONE- to/TO head/VB the/DT |      NIH/NN->NNP       | and/CC the/DT CDC/NNP wil
/DT NIH/NNP and/CC the/DT |      CDC/NN->NNP       | will/MD be/VB judged/VBN 
``/`` standards/NNS of/IN |   scientific/NN->JJ    | and/CC administrative/JJ 
 handling/NN of/IN the/DT |  fetal-tissue/NN->JJ   | transplant/NN issue/NN di
JJ transplant/NN issue/NN |   disturbs/NNS->VBZ    | many/JJ scientists/NNS ./
           ``/`` When/WRB |   scientific/NN->JJ    | progress/NN moves/VBZ int
scientific/JJ progress/NN |     moves/NNS->VBZ     | into/IN uncharted/JJ grou
ress/NN moves/VBZ into/IN |   uncharted/VBD->JJ    | ground/NN *T*-1/-NONE- ,/
 to/TO be/VB a/DT role/NN |   *ICH*-4/NN->-NONE-   | for/IN society/NN */-NONE
/'' says/VBZ *T*-2/-NONE- |     Myron/NN->NNP      | Genel/NNP ,/, associate/N
BZ *T*-2/-NONE- Myron/NNP |     Genel/NN->NNP      | ,/, associate/NN dean/NN 
e/NN dean/NN of/IN the/DT |      Yale/NN->NNP      | Medical/NNP School/NNP ./
/NN of/IN the/DT Yale/NNP |    Medical/NN->NNP     | School/NNP ./.
arized/VBN *-1/-NONE- ,/, |       so/RB->IN        | that/IN no/DT mechanism/N
chanism/NN *ICH*-2/-NONE- |    exists/NNS->VBZ     | ''/'' for/IN */-NONE- fin
VBZ ''/'' for/IN */-NONE- |    finding/NN->VBG     | a/DT middle/JJ ground/NN 
*/-NONE- finding/VBG a/DT |     middle/NN->JJ      | ground/NN ./.
                          |      Yale/NN->NNP      | is/VBZ one/CD of/IN the/D
nducting/VBG privately/RB |     funded/VBD->JJ     | research/NN on/IN fetal-t
nded/JJ research/NN on/IN |  fetal-tissue/NN->JJ   | transplants/NNS ./.
           But/CC Dr./NNP |     Genel/NN->NNP      | warns/VBZ that/IN Dr./NNP
 But/CC Dr./NNP Genel/NNP |     warns/NNS->VBZ     | that/IN Dr./NNP Mason/NNP
warns/VBZ that/IN Dr./NNP |     Mason/NN->NNP      | 's/POS ruling/NN may/MD d
/CD of/IN the/DT more/RBR |     visible/NN->JJ     | foundations/NNS to/TO pro
research/NN involving/VBG |      fetal/NN->JJ      | tissues/NNS will/MD conti
h/NN may/MD ultimately/RB |     result/NN->VB      | in/IN the/DT ability/NN *
NONE- to/TO regenerate/VB |    damaged/VBD->JJ     | tissues/NNS or/CC */-NONE
 turn/VB off/RP genes/NNS |      that/IN->WDT      | *T*-114/-NONE- cause/VBP 
off/RP genes/NNS that/WDT |   *T*-114/NN->-NONE-   | cause/VBP cancer/NN ''/''
S that/WDT *T*-114/-NONE- |     cause/NN->VBP      | cancer/NN ''/'' or/CC */-
/TO regulate/VB genes/NNS |      that/IN->WDT      | *T*-115/-NONE- cause/VBP 
ate/VB genes/NNS that/WDT |   *T*-115/NN->-NONE-   | cause/VBP Down/NNP 's/POS
S that/WDT *T*-115/-NONE- |     cause/NN->VBP      | Down/NNP 's/POS syndrome/
 *T*-115/-NONE- cause/VBP |      Down/NN->NNP      | 's/POS syndrome/NN ,/, th
eading/VBG cause/NN of/IN |     mental/NN->JJ      | retardation/NN ,/, accord
according/VBG to/TO an/DT |      NIH/NN->NNP       | summary/NN ./.
                   The/DT |      NIH/NN->NNP       | currently/RB spends/VBZ a
/-NONE- annually/RB on/IN |  fetal-tissue/NN->JJ   | research/NN out/IN of/IN 
tal-tissue/JJ research/NN |       out/RP->IN       | of/IN a/DT total/JJ resea
arch/NN out/IN of/IN a/DT |      total/NN->JJ      | research/NN budget/NN of/
                          |   Rekindled/VBD->VBN   | hope/NN that/IN two/CD Ne
            Rekindled/VBN |      hope/VB->NN       | that/IN two/CD New/NNP En
l/MD allow/VB broader/JJR |   interstate/NN->JJ    | banking/NN boosted/VBD Na
broader/JJR interstate/JJ |    banking/VBG->NN     | boosted/VBD Nasdaq/NNP 's
 interstate/JJ banking/NN |    boosted/VBN->VBD    | Nasdaq/NNP 's/POS bank/NN
cks/NNS ,/, but/CC the/DT | over-the-counter/NN->JJ | market/NN was/VBD up/RB o
nter/JJ market/NN was/VBD |       up/RP->RB        | only/RB slightly/RB in/IN
only/RB slightly/RB in/IN |   lackluster/NN->JJ    | trading/NN ./.
/CD to/TO 456.64/CD on/IN |     paltry/NN->JJ      | volume/NN of/IN 118.6/CD 
 ,/, it/PRP was/VBD an/DT |  inauspicious/NNS->JJ  | beginning/NN for/IN Novem
VBD an/DT inauspicious/JJ |   beginning/VBG->NN    | for/IN November/NNP ./.
/IN the/DT year/NN 's/POS |      daily/RB->JJ      | average/NN of/IN 133.8/CD
T year/NN 's/POS daily/JJ |     average/JJ->NN     | of/IN 133.8/CD million/CD
IN October/NNP ,/, the/DT |    busiest/NN->JJS     | month/NN of/IN the/DT yea
f/IN the/DT year/NN so/RB |       far/RB->JJ       | ,/, daily/JJ volume/NN av
 year/NN so/RB far/JJ ,/, |      daily/RB->JJ      | volume/NN averaged/VBD ro
/CD index/NN of/IN the/DT |    biggest/NN->JJS     | nonfinancial/JJ stocks/NN
 of/IN the/DT biggest/JJS |  nonfinancial/NN->JJ   | stocks/NNS gained/VBD 1.3
NN index/NN ,/, which/WDT |   *T*-116/NN->-NONE-   | tracks/VBZ thrift/NN issu
 which/WDT *T*-116/-NONE- |    tracks/NNS->VBZ     | thrift/NN issues/NNS ,/, 
 thrift/NN issues/NNS ,/, |    jumped/VBN->VBD     | 3.23/CD to/TO 436.01/CD .
BD a/DT boost/NN when/WRB |  Connecticut/NN->NNP   | Bank/NNP &/CC Trust/NNP a
ecticut/NNP Bank/NNP &/CC |     Trust/NN->NNP      | and/CC Bank/NNP of/IN New
aid/VBD 0/-NONE- they/PRP |       no/DT->RB        | longer/RB oppose/VBP pend
D 0/-NONE- they/PRP no/RB |     longer/JJR->RB     | oppose/VBP pending/VBG le
 they/PRP no/RB longer/RB |     oppose/NN->VBP     | pending/VBG legislation/N
ther/JJ regions/NNS to/TO |      merge/NN->VB      | with/IN Connecticut/NNP a
NS to/TO merge/VB with/IN |  Connecticut/NN->NNP   | and/CC Massachusetts/NNP 
IN Connecticut/NNP and/CC | Massachusetts/NNS->NNP | banks/NNS *T*-2/-NONE- ./
 based/VBN */-NONE- in/IN | Massachusetts/NNS->NNP | were/VBD n't/RB helped/VB
NONE- making/VBG them/PRP |  unattractive/NN->JJ   | takeover/NN targets/NNS .
 anticipating/VBG that/IN |  Connecticut/NN->NNP   | will/MD approve/VB a/DT l
NN permitting/VBG such/JJ |   interstate/NN->JJ    | banking/NN soon/RB ,/, im
